CUESTIONARIO DE HOMOLOGACIÓN INICIAL - LLUCH REGULATION
Material,DEMO-MAT-001
Nombre Material,Premium Lavender Essential Oil
Código Proveedor,PROV-LAV-2024
Fecha Envío,2025-05-01
Versión,1

SECCIÓN 1: INFORMACIÓN DE LA EMPRESA
Campo,Valor
company_name,Provence Natural Extracts SAS
contact_person,Jean-Pierre Dubois
contact_email,jp.dubois@provence-extracts.fr
contact_phone,+33 4 90 12 34 56
legal_registration,FR 123456789
years_in_business,25
number_of_employees,150
annual_production_capacity,500 tons

SECCIÓN 2: CERTIFICACIONES Y CUMPLIMIENTO
Campo,Valor
quality_certificate,ISO 9001:2015
organic_certified,Yes
kosher_certified,No
halal_certified,No
fair_trade_certified,Yes
gmp_certified,Yes
haccp_certified,Yes
iso_14001_certified,Yes
reach_compliant,Yes
fda_registered,Yes

SECCIÓN 3: SOSTENIBILIDAD
Campo,Valor
sustainable_sourcing,Yes
carbon_neutral,In Progress
endangered_species_used,No
sustainability_score,85
water_conservation_practices,Yes
renewable_energy_used,Partial
waste_reduction_program,Yes
local_sourcing_percentage,75
environmental_impact_assessment,Completed annually

SECCIÓN 4: ALÉRGENOS Y SEGURIDAD
Campo,Valor
allergen_declaration,None
gluten_free,Yes
lactose_free,Yes
nut_free_facility,Yes
allergen_control_plan,Yes
allergen_testing_frequency,Every batch

SECCIÓN 5: PARÁMETROS DE CALIDAD
Campo,Valor
purity_percentage,99.8
moisture_content,0.15
ash_content,0.05
acid_value,1.2
peroxide_value,2.5
refractive_index,1.4580
specific_gravity,0.885
optical_rotation,-10.5
heavy_metals_compliant,Yes
heavy_metals_test_method,ICP-MS
microbiological_compliant,Yes
total_plate_count,<10 CFU/g
yeast_mold_count,<10 CFU/g
ecoli_test,Negative
salmonella_test,Negative

SECCIÓN 6: COMPOSICIÓN Y ANÁLISIS
Campo,Valor
main_components,Linalool (40%), Linalyl acetate (35%), Terpinen-4-ol (5%)
impurities_identified,None significant (<0.1%)
batch_consistency,>95% across batches
analysis_method,GC-MS
analysis_frequency,Every production batch
coa_retention_period,10 years

SECCIÓN 7: CADENA DE SUMINISTRO
Campo,Valor
country_of_origin,France
region_of_origin,Provence-Alpes-Côte d'Azur
manufacturing_site,Lavender Fields Production Facility, Provence
extraction_method,Steam distillation
raw_material_traceability,Full farm-to-bottle tracking
batch_tracking_available,Yes
batch_coding_system,Year-Month-Lot-Sublot
shelf_life_months,24
storage_conditions,Cool, dry place. Away from light.
recommended_storage_temp,15-25°C

SECCIÓN 8: DOCUMENTACIÓN
Campo,Valor
technical_data_sheet_available,Yes
safety_data_sheet_available,Yes
coa_provided,Yes
allergen_statement_provided,Yes
specification_sheet_available,Yes
stability_study_available,Yes
method_validation_available,Yes

SECCIÓN 9: INFORMACIÓN ADICIONAL
Campo,Valor
gmo_free,Yes
irradiation_used,No
animal_testing,No
pesticide_residues_tested,Yes
pesticide_residues_compliant,Below EU limits
packaging_material,Food-grade aluminum bottles
packaging_sustainability,100% recyclable
special_handling_requirements,Keep sealed. Avoid direct sunlight.
additional_comments,Premium grade lavender oil. Harvested during optimal season (June-July). First distillation only. Certified organic by Ecocert.

SECCIÓN 10: FIRMAS Y APROBACIONES
Campo,Valor
prepared_by,Jean-Pierre Dubois
title_prepared_by,Quality Manager
date_prepared,2025-05-01
reviewed_by,Marie Laurent
title_reviewed_by,Technical Director
date_reviewed,2025-05-01
company_stamp,PROVENCE NATURAL EXTRACTS SAS

